,name,experiment,label,day,day_moment,pbs,cage,group,eye,dose,path
31,OCT_Image_RE_Circle-2017-09-14-16-31-38.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-31-38.tif
32,OCT_Image_RE_Circle-2017-09-14-16-31-32.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-31-32.tif
33,OCT_Image_RE_Circle-2017-09-14-16-37-54.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-37-54.tif
34,OCT_Image_RE_Circle-2017-09-14-16-32-31.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-32-31.tif
35,OCT_Image_RE_Circle-2017-09-14-16-37-16.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-37-16.tif
36,OCT_Image_RE_Circle-2017-09-14-16-33-27.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-33-27.tif
37,OCT_Image_RE_Circle-2017-09-14-16-32-00.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-32-00.tif
38,OCT_Image_RE_Circle-2017-09-14-16-32-06.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-32-06.tif
44,OCT_Image_RE_Circle-2017-09-14-15-41-49.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-41-49.tif
45,OCT_Image_RE_Circle-2017-09-14-15-44-06.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-44-06.tif
46,OCT_Image_RE_Circle-2017-09-14-15-43-58.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-43-58.tif
47,OCT_Image_RE_Circle-2017-09-14-15-44-14.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-44-14.tif
48,OCT_Image_RE_Circle-2017-09-14-15-43-26.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-43-26.tif
49,OCT_Image_RE_Circle-2017-09-14-15-41-43.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-41-43.tif
50,OCT_Image_RE_Circle-2017-09-14-15-46-47.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-46-47.tif
51,OCT_Image_RE_Circle-2017-09-14-15-42-27.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-42-27.tif
52,OCT_Image_RE_Circle-2017-09-14-15-42-21.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-42-21.tif
53,OCT_Image_RE_Circle-2017-09-14-15-43-20.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-43-20.tif
54,OCT_Image_RE_Circle-2017-09-14-15-41-35.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-41-35.tif
55,OCT_Image_RE_Circle-2017-09-14-15-41-19.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A2 GP A/OCT_Image_RE_Circle-2017-09-14-15-41-19.tif
59,OCT_Image_RE_Circle-2017-09-15-11-05-39.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-05-39.tif
60,OCT_Image_RE_Circle-2017-09-15-11-03-48.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-03-48.tif
61,OCT_Image_RE_Circle-2017-09-15-11-05-09.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-05-09.tif
62,OCT_Image_RE_Circle-2017-09-15-11-06-08.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-06-08.tif
63,OCT_Image_RE_Circle-2017-09-15-11-04-43.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-04-43.tif
64,OCT_Image_RE_Circle-2017-09-15-11-05-15.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-05-15.tif
65,OCT_Image_RE_Circle-2017-09-15-11-03-40.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-03-40.tif
66,OCT_Image_RE_Circle-2017-09-15-11-03-28.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-03-28.tif
67,OCT_Image_RE_Circle-2017-09-15-11-04-36.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-04-36.tif
68,OCT_Image_RE_Circle-2017-09-15-11-06-14.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A1 GP B/OCT_Image_RE_Circle-2017-09-15-11-06-14.tif
73,OCT_Image_RE_Circle-2017-09-15-15-56-50.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-56-50.tif
74,OCT_Image_RE_Circle-2017-09-15-15-58-34.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-58-34.tif
75,OCT_Image_RE_Circle-2017-09-15-15-54-30.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-54-30.tif
76,OCT_Image_RE_Circle-2017-09-15-15-57-58.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-57-58.tif
77,OCT_Image_RE_Circle-2017-09-15-15-57-35.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-57-35.tif
78,OCT_Image_RE_Circle-2017-09-15-15-54-36.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-54-36.tif
79,OCT_Image_RE_Circle-2017-09-15-15-58-19.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-58-19.tif
80,OCT_Image_RE_Circle-2017-09-15-15-57-04.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-57-04.tif
81,OCT_Image_RE_Circle-2017-09-15-15-56-02.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-56-02.tif
82,OCT_Image_RE_Circle-2017-09-15-15-55-23.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A2 GP C/OCT_Image_RE_Circle-2017-09-15-15-55-23.tif
87,OCT_Image_RE_Circle-2017-09-14-14-56-46.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-56-46.tif
88,OCT_Image_RE_Circle-2017-09-14-14-55-33.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-55-33.tif
89,OCT_Image_RE_Circle-2017-09-14-14-54-10.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-54-10.tif
90,OCT_Image_RE_Circle-2017-09-14-14-58-45.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-58-45.tif
91,OCT_Image_RE_Circle-2017-09-14-14-57-36.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-57-36.tif
92,OCT_Image_RE_Circle-2017-09-14-14-55-25.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-55-25.tif
93,OCT_Image_RE_Circle-2017-09-14-14-57-24.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-57-24.tif
94,OCT_Image_RE_Circle-2017-09-14-14-59-41.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-59-41.tif
95,OCT_Image_RE_Circle-2017-09-14-14-56-33.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-56-33.tif
96,OCT_Image_RE_Circle-2017-09-14-14-59-35.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-59-35.tif
97,OCT_Image_RE_Circle-2017-09-14-14-58-35.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-58-35.tif
98,OCT_Image_RE_Circle-2017-09-14-14-58-28.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A1 GP A/OCT_Image_RE_Circle-2017-09-14-14-58-28.tif
